"행정구역(시군구)별",2001,2001,2001,2021,2021,2021
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"전국",48021543,24102463,23919080,51638809,25746684,25892125
"서울특별시",10263336,5141741,5121595,9509458,4618040,4891418
"부산광역시",3770536,1883524,1887012,3350380,1639044,1711336
"대구광역시",2525109,1268488,1256621,2385412,1175632,1209780
"인천광역시",2564598,1294400,1270198,2948375,1476373,1472002
"광주광역시",1383765,687267,696498,1441611,713015,728596
"대전광역시",1403164,704489,698675,1452251,724626,727625
"울산광역시",1055618,541907,513711,1121592,576217,545375
"세종특별자치시",-,-,-,371895,185678,186217
"경기도",9544496,4822367,4722129,13565450,6827298,6738152
"강원도",1552407,778766,773641,1538492,774332,764160
"충청북도",1496520,752588,743932,1597427,810672,786755
"충청남도",1918137,964509,953628,2119257,1083366,1035891
"전라북도",2006454,995701,1010753,1786855,888994,897861
"전라남도",2099308,1045903,1053405,1832803,922221,910582
"경상북도",2784704,1394244,1390460,2626609,1323661,1302948
"경상남도",3106502,1555175,1551327,3314183,1668338,1645845
"제주특별자치도",546889,271394,275495,676759,339177,337582
